Date,Open,High,Low,Close,Volume
11/14/2014,44665,44730,43760,44205,1788500
11/13/2014,43605,44370,43110,44285,761400
11/12/2014,43670,44350,43330,43480,1297700
11/11/2014,41615,43355,41580,43115,963600
11/10/2014,41800,41900,41240,41430,530600
11/7/2014,42935,42935,42100,42325,721700
11/6/2014,42750,43335,41800,42235,1031000
11/5/2014,41190,42920,41100,42450,1159300
11/4/2014,42465,42485,41500,41500,1647900
10/31/2014,38055,40900,38015,40365,1881900
10/30/2014,37145,37715,37040,37680,603000
10/29/2014,36465,37080,36280,36940,663400
10/28/2014,36700,36875,36120,36135,517600
10/27/2014,37085,37195,36810,36905,412400
10/24/2014,37000,37050,36585,36745,602400
10/23/2014,36500,37085,36460,36590,495600
10/22/2014,37085,37160,36285,36840,890300
10/21/2014,37520,37790,36625,36790,867000
10/20/2014,37445,37940,37205,37905,877200
10/17/2014,37635,37635,36570,36745,731000
10/16/2014,36575,37145,36555,37020,990300
10/15/2014,37600,37680,36960,37640,841300
10/14/2014,37500,37740,36920,36930,1214800
10/10/2014,38000,38455,37000,37890,1687300
10/9/2014,36875,37845,36860,37255,966300
10/8/2014,36385,36950,36365,36705,532600
10/7/2014,37355,37490,36855,36965,590500
10/6/2014,37520,37990,37260,37840,670400
10/3/2014,37810,37880,36635,37370,1013900
10/2/2014,36500,36975,36260,36370,766600
10/1/2014,36615,37210,36525,36780,423800
9/30/2014,36575,36940,36520,36705,417500
9/29/2014,36795,37050,36705,36810,368900
9/26/2014,36165,36910,36160,36655,603600
9/25/2014,37000,37170,36760,36865,521000
9/24/2014,35800,36510,35755,36405,507900
9/22/2014,35880,36270,35870,35970,447600
9/19/2014,35705,36395,35655,36250,1133500
9/18/2014,34640,35065,34450,35005,734900
9/17/2014,34150,34385,34075,34365,531700
9/16/2014,33505,33950,33505,33795,464900
9/12/2014,34065,34345,33900,34125,1866600
9/11/2014,33695,34185,33640,34135,485600
9/10/2014,33665,33725,33415,33675,359700
9/9/2014,33960,34070,33735,33900,354600
9/8/2014,34345,34360,33845,33960,339400
9/5/2014,34375,34400,34025,34035,381500
9/4/2014,33635,34000,33550,33970,387600
9/3/2014,33910,34250,33730,33735,734700
9/2/2014,32690,33360,32615,33165,482400
9/1/2014,32685,32700,32460,32540,139100
8/29/2014,32470,32550,32220,32550,412000
8/28/2014,32905,32935,32495,32665,357000
8/27/2014,33250,33250,32970,33065,263200
8/26/2014,33310,33355,32940,33000,279200
8/25/2014,33065,33410,33055,33355,363000
8/22/2014,32885,33150,32880,32900,236300
8/21/2014,32995,33070,32900,32985,281400
8/20/2014,32825,32935,32715,32800,218400
8/19/2014,33010,33055,32845,32850,345700
8/18/2014,32900,32985,32675,32695,312400
8/15/2014,33095,33100,32885,33030,170400
8/14/2014,33000,33160,32945,33005,212600
8/13/2014,32695,32970,32655,32885,293800
8/12/2014,33000,33220,32740,32885,319200
8/11/2014,33015,33190,32685,33100,545700
8/8/2014,32800,32990,32030,32105,1075000
8/7/2014,33045,33590,32970,33350,478800
8/6/2014,33480,33810,33205,33320,507200
8/5/2014,33950,34025,33520,33565,493400
8/4/2014,34010,34285,33950,34075,368900
8/1/2014,34290,34550,34105,34150,482100
7/31/2014,34395,34740,34285,34405,746500
7/30/2014,33930,34400,33920,33975,492600
7/29/2014,33610,34055,33545,33970,654700
7/28/2014,32900,33365,32835,33300,494000
7/25/2014,32360,32785,32340,32750,330600
7/24/2014,32370,32600,32180,32295,482200
7/23/2014,32350,32465,32210,32280,294000
7/22/2014,32360,32470,32225,32350,453600
7/18/2014,32375,32580,32185,32355,530600
7/17/2014,32980,33175,32860,32875,281000
7/16/2014,32960,33020,32615,32890,374600
7/15/2014,32710,33130,32710,33050,436100
7/14/2014,32875,32945,32380,32760,576600
7/11/2014,32990,33400,32555,32855,1070100
7/10/2014,33235,33685,33200,33505,565200
7/9/2014,33000,33255,32800,33240,471500
7/8/2014,33380,33535,33150,33220,447000
7/7/2014,33445,33750,33310,33580,394300
7/4/2014,33740,33750,33360,33420,336500
7/3/2014,33800,33865,33330,33375,566500
7/2/2014,33520,33775,33235,33335,460200
7/1/2014,33150,33790,33030,33455,623000
6/30/2014,33635,33790,33150,33330,510300
6/27/2014,34345,34565,33400,33635,653400
6/26/2014,34550,34645,34320,34590,308700
6/25/2014,34300,34615,34215,34350,318500
6/24/2014,34280,34895,34220,34700,359900
6/23/2014,34855,34975,34635,34765,503400
6/20/2014,34325,34770,34270,34415,611600
6/19/2014,33695,34495,33530,34480,707800
6/18/2014,33330,33785,33320,33605,494500
6/17/2014,33165,33490,33140,33250,354300
